Kanton/Canton,BFS/OFS-No,Gemeinde/Commune,Tax Freedom Day,Dauer (Tage)/Durée (jours)
Zürich,72,Winkel,27.01.2011,26
Zürich,88,Neerach,27.01.2011,26
Zürich,139,Rüschlikon,27.01.2011,26
Zürich,152,Herrliberg,27.01.2011,26
Zürich,154,Küsnacht (ZH),27.01.2011,26
Zürich,160,Zumikon,27.01.2011,26
Zürich,161,Zollikon,27.01.2011,26
Zürich,248,Uitikon,27.01.2011,26
Zürich,14,Wettswil am Albis,28.01.2011,27
Zürich,135,Kilchberg (ZH),28.01.2011,27
Zürich,137,Oberrieden,28.01.2011,27
Zürich,141,Thalwil,28.01.2011,27
Zürich,151,Erlenbach (ZH),28.01.2011,27
Zürich,156,Meilen,28.01.2011,27
Zürich,158,Stäfa,28.01.2011,27
Zürich,195,Maur,28.01.2011,27
Zürich,13,Stallikon,29.01.2011,28
Zürich,63,Lufingen,29.01.2011,28
Zürich,64,Nürensdorf,29.01.2011,28
Zürich,82,Boppelsen,29.01.2011,28
Zürich,133,Horgen,29.01.2011,28
Zürich,155,Männedorf,29.01.2011,28
Zürich,159,Uetikon am See,29.01.2011,28
Zürich,193,Fällanden,29.01.2011,28
Zürich,197,Schwerzenbach,29.01.2011,28
Zürich,199,Volketswil,29.01.2011,28
Zürich,213,Brütten,29.01.2011,28
Zürich,241,Aesch (ZH),29.01.2011,28
Zürich,246,Oetwil an der Limmat,29.01.2011,28
Zürich,1,Aeugst am Albis,30.01.2011,29
Zürich,9,Mettmenstetten,30.01.2011,29
Zürich,51,Bachenbülach,30.01.2011,29
Zürich,54,Dietlikon,30.01.2011,29
Zürich,66,Opfikon,30.01.2011,29
Zürich,69,Wallisellen,30.01.2011,29
Zürich,102,Weiach,30.01.2011,29
Zürich,136,Langnau am Albis,30.01.2011,29
Zürich,192,Egg,30.01.2011,29
Zürich,223,Neftenbach,30.01.2011,29
Zürich,227,Seuzach,30.01.2011,29
Zürich,229,Wiesendangen,30.01.2011,29
Zürich,244,Geroldswil,30.01.2011,29
Zürich,249,Unterengstringen,30.01.2011,29
Zürich,251,Weiningen (ZH),30.01.2011,29
Zürich,3,Bonstetten,31.01.2011,30
Zürich,5,Hedingen,31.01.2011,30
Zürich,52,Bassersdorf,31.01.2011,30
Zürich,62,Kloten,31.01.2011,30
Zürich,86,Dielsdorf,31.01.2011,30
Zürich,95,Regensberg,31.01.2011,30
Zürich,96,Regensdorf,31.01.2011,30
Zürich,138,Richterswil,31.01.2011,30
Zürich,142,Wädenswil,31.01.2011,30
Zürich,180,Weisslingen,31.01.2011,30
Zürich,194,Greifensee,31.01.2011,30
Zürich,200,Wangen-Brüttisellen,31.01.2011,30
Zürich,216,Dinhard,31.01.2011,30
Zürich,221,Hettlingen,31.01.2011,30
Zürich,4,Hausen am Albis,01.02.2011,31
Zürich,6,Kappel am Albis,01.02.2011,31
Zürich,11,Ottenbach,01.02.2011,31
Zürich,12,Rifferswil,01.02.2011,31
Zürich,21,Adlikon,01.02.2011,31
Zürich,25,Dachsen,01.02.2011,31
Zürich,28,Flaach,01.02.2011,31
Zürich,30,Andelfingen,01.02.2011,31
Zürich,31,Henggart,01.02.2011,31
Zürich,33,Kleinandelfingen,01.02.2011,31
Zürich,34,Laufen-Uhwiesen,01.02.2011,31
Zürich,39,Thalheim an der Thur,01.02.2011,31
Zürich,40,Trüllikon,01.02.2011,31
Zürich,41,Truttikon,01.02.2011,31
Zürich,53,Bülach,01.02.2011,31
Zürich,57,Freienstein-Teufen,01.02.2011,31
Zürich,59,Hochfelden,01.02.2011,31
Zürich,61,Hüntwangen,01.02.2011,31
Zürich,68,Rorbas,01.02.2011,31
Zürich,71,Wil (ZH),01.02.2011,31
Zürich,83,Buchs (ZH),01.02.2011,31
Zürich,84,Dällikon,01.02.2011,31
Zürich,85,Dänikon,01.02.2011,31
Zürich,87,Hüttikon,01.02.2011,31
Zürich,89,Niederglatt,01.02.2011,31
Zürich,91,Niederweningen,01.02.2011,31
Zürich,93,Oberweningen,01.02.2011,31
Zürich,94,Otelfingen,01.02.2011,31
Zürich,97,Rümlang,01.02.2011,31
Zürich,99,Schöfflisdorf,01.02.2011,31
Zürich,100,Stadel,01.02.2011,31
Zürich,101,Steinmaur,01.02.2011,31
Zürich,112,Bubikon,01.02.2011,31
Zürich,116,Grüningen,01.02.2011,31
Zürich,117,Hinwil,01.02.2011,31
Zürich,131,Adliswil,01.02.2011,31
Zürich,132,Hirzel,01.02.2011,31
Zürich,140,Schönenberg (ZH),01.02.2011,31
Zürich,172,Fehraltorf,01.02.2011,31
Zürich,176,Lindau,01.02.2011,31
Zürich,177,Pfäffikon,01.02.2011,31
Zürich,191,Dübendorf,01.02.2011,31
Zürich,198,Uster,01.02.2011,31
Zürich,211,Altikon,01.02.2011,31
Zürich,212,Bertschikon,01.02.2011,31
Zürich,218,Ellikon an der Thur,01.02.2011,31
Zürich,220,Hagenbuch,01.02.2011,31
Zürich,224,Pfungen,01.02.2011,31
Zürich,225,Rickenbach (ZH),01.02.2011,31
Zürich,242,Birmensdorf (ZH),01.02.2011,31
Zürich,245,Oberengstringen,01.02.2011,31
Zürich,250,Urdorf,01.02.2011,31
Zürich,10,Obfelden,02.02.2011,32
Zürich,22,Benken (ZH),02.02.2011,32
Zürich,23,Berg am Irchel,02.02.2011,32
Zürich,24,Buch am Irchel,02.02.2011,32
Zürich,26,Dorf,02.02.2011,32
Zürich,27,Feuerthalen,02.02.2011,32
Zürich,29,Flurlingen,02.02.2011,32
Zürich,32,Humlikon,02.02.2011,32
Zürich,35,Marthalen,02.02.2011,32
Zürich,56,Embrach,02.02.2011,32
Zürich,58,Glattfelden,02.02.2011,32
Zürich,60,Höri,02.02.2011,32
Zürich,65,Oberembrach,02.02.2011,32
Zürich,67,Rafz,02.02.2011,32
Zürich,70,Wasterkingen,02.02.2011,32
Zürich,90,Niederhasli,02.02.2011,32
Zürich,92,Oberglatt,02.02.2011,32
Zürich,98,Schleinikon,02.02.2011,32
Zürich,111,Bäretswil,02.02.2011,32
Zürich,113,Dürnten,02.02.2011,32
Zürich,115,Gossau (ZH),02.02.2011,32
Zürich,118,Rüti (ZH),02.02.2011,32
Zürich,119,Seegräben,02.02.2011,32
Zürich,121,Wetzikon (ZH),02.02.2011,32
Zürich,153,Hombrechtikon,02.02.2011,32
Zürich,157,Oetwil am See,02.02.2011,32
Zürich,174,Illnau-Effretikon,02.02.2011,32
Zürich,178,Russikon,02.02.2011,32
Zürich,196,Mönchaltorf,02.02.2011,32
Zürich,214,Dägerlen,02.02.2011,32
Zürich,215,Dättlikon,02.02.2011,32
Zürich,217,Elgg,02.02.2011,32
Zürich,219,Elsau,02.02.2011,32
Zürich,247,Schlieren,02.02.2011,32
Zürich,261,Zürich,02.02.2011,32
Zürich,2,Affoltern am Albis,03.02.2011,33
Zürich,7,Knonau,03.02.2011,33
Zürich,8,Maschwanden,03.02.2011,33
Zürich,36,Oberstammheim,03.02.2011,33
Zürich,37,Ossingen,03.02.2011,33
Zürich,38,Rheinau,03.02.2011,33
Zürich,42,Unterstammheim,03.02.2011,33
Zürich,43,Volken,03.02.2011,33
Zürich,44,Waltalingen,03.02.2011,33
Zürich,55,Eglisau,03.02.2011,33
Zürich,81,Bachs,03.02.2011,33
Zürich,114,Fischenthal,03.02.2011,33
Zürich,120,Wald (ZH),03.02.2011,33
Zürich,134,Hütten,03.02.2011,33
Zürich,171,Bauma,03.02.2011,33
Zürich,173,Hittnau,03.02.2011,33
Zürich,175,Kyburg,03.02.2011,33
Zürich,179,Sternenberg,03.02.2011,33
Zürich,181,Wila,03.02.2011,33
Zürich,182,Wildberg,03.02.2011,33
Zürich,222,Hofstetten (ZH),03.02.2011,33
Zürich,226,Schlatt (ZH),03.02.2011,33
Zürich,228,Turbenthal,03.02.2011,33
Zürich,230,Winterthur,03.02.2011,33
Zürich,231,Zell (ZH),03.02.2011,33
Zürich,243,Dietikon,03.02.2011,33
Bern,356,Muri bei Bern,07.02.2011,37
Bern,535,Deisswil bei Münchenbuchsee,07.02.2011,37
Bern,421,Rumendingen,08.02.2011,38
Bern,362,Ittigen,09.02.2011,39
Bern,415,Lyssach,09.02.2011,39
Bern,500,Treiten,09.02.2011,39
Bern,982,Niederönz,09.02.2011,39
Bern,321,Aarwangen,10.02.2011,40
Bern,329,Langenthal,10.02.2011,40
Bern,354,Kirchlindach,10.02.2011,40
Bern,401,Aefligen,10.02.2011,40
Bern,420,Rüdtligen-Alchenflüh,10.02.2011,40
Bern,423,Willadingen,10.02.2011,40
Bern,537,Etzelkofen,10.02.2011,40
Bern,540,Jegenstorf,10.02.2011,40
Bern,543,Mattstetten,10.02.2011,40
Bern,544,Moosseedorf,10.02.2011,40
Bern,553,Wiggiswil,10.02.2011,40
Bern,609,Häutligen,10.02.2011,40
Bern,615,Mirchel,10.02.2011,40
Bern,668,Mühleberg,10.02.2011,40
Bern,742,Mörigen,10.02.2011,40
Bern,782,Guttannen,10.02.2011,40
Bern,843,Saanen,10.02.2011,40
Bern,875,Mühledorf (BE),10.02.2011,40
Bern,972,Berken,10.02.2011,40
Bern,979,Herzogenbuchsee,10.02.2011,40
Bern,981,Niederbipp,10.02.2011,40
Bern,990,Walliswil bei Niederbipp,10.02.2011,40
Bern,332,Madiswil,11.02.2011,41
Bern,337,Roggwil (BE),11.02.2011,41
Bern,341,Schwarzhäusern,11.02.2011,41
Bern,353,Bremgarten bei Bern,11.02.2011,41
Bern,361,Zollikofen,11.02.2011,41
Bern,372,Evilard,11.02.2011,41
Bern,382,Büetigen,11.02.2011,41
